Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_100_05.json,4.47953,0.730948,30,1
base\CLASS05_100_05.json,2.45906,0.691892,31,2
base\CLASS05_100_05.json,3.37486,0.732127,30,3
base\CLASS05_100_05.json,3.39947,0.731771,30,4
base\CLASS05_100_05.json,2.1231,0.691283,31,5
base\CLASS05_100_05.json,2.72188,0.729023,30,6
base\CLASS05_100_05.json,1.68744,0.739029,30,7
base\CLASS05_100_05.json,2.4439,0.730006,30,8
base\CLASS05_100_05.json,1.68564,0.691416,31,9
base\CLASS05_100_05.json,3.28015,0.727626,30,10
base\CLASS05_100_05.json,2.56015,0.691043,31,11
base\CLASS05_100_05.json,3.36189,0.728649,30,12
base\CLASS05_100_05.json,3.91161,0.69742,31,13
base\CLASS05_100_05.json,2.35478,0.730756,30,14
base\CLASS05_100_05.json,3.88174,0.696352,31,15
base\CLASS05_100_05.json,2.31245,0.699839,31,16
base\CLASS05_100_05.json,2.25523,0.694473,31,17
base\CLASS05_100_05.json,2.56202,0.690637,31,18
base\CLASS05_100_05.json,3.46171,0.738444,30,19
base\CLASS05_100_05.json,1.64407,0.691228,31,20
base\CLASS05_100_05.json,5.58324,0.779015,29,21
base\CLASS05_100_05.json,1.89698,0.692077,31,22
base\CLASS05_100_05.json,4.38106,0.729936,30,23
base\CLASS05_100_05.json,2.11589,0.697672,31,24
base\CLASS05_100_05.json,2.84939,0.69151,31,25
base\CLASS05_100_05.json,1.56742,0.686676,31,26
base\CLASS05_100_05.json,2.2646,0.697088,31,27
base\CLASS05_100_05.json,1.52488,0.697343,31,28
base\CLASS05_100_05.json,2.71881,0.732712,30,29
base\CLASS05_100_07.json,2.02407,0.749109,27,0
base\CLASS05_100_07.json,3.47891,0.753037,27,1
base\CLASS05_100_07.json,3.55388,0.752422,27,2
base\CLASS05_100_07.json,3.80037,0.756683,27,3
base\CLASS05_100_07.json,1.71372,0.750473,27,4
base\CLASS05_100_07.json,2.24261,0.752409,27,5
base\CLASS05_100_07.json,4.43104,0.797386,26,6
base\CLASS05_100_07.json,1.09681,0.742486,27,7
base\CLASS05_100_07.json,2.37492,0.744502,27,8
base\CLASS05_100_07.json,1.70795,0.747929,27,9
base\CLASS05_100_07.json,2.7017,0.761184,27,10
base\CLASS05_100_07.json,3.80242,0.76707,27,11
base\CLASS05_100_07.json,2.11707,0.74738,27,12
base\CLASS05_100_07.json,1.30988,0.753648,27,13
base\CLASS05_100_07.json,2.20131,0.710383,28,14
base\CLASS05_100_07.json,3.00604,0.760433,27,15
base\CLASS05_100_07.json,1.81716,0.748494,27,16
base\CLASS05_100_07.json,4.43574,0.798991,26,17
base\CLASS05_100_07.json,3.09196,0.748312,27,18
base\CLASS05_100_07.json,1.26015,0.743636,27,19
base\CLASS05_100_07.json,2.16647,0.708929,28,20
base\CLASS05_100_07.json,0.998159,0.752726,27,21
base\CLASS05_100_07.json,2.20821,0.744477,27,22
base\CLASS05_100_07.json,2.10159,0.749501,27,23
base\CLASS05_100_07.json,3.88571,0.761168,27,24
base\CLASS05_100_07.json,1.63219,0.743047,27,25
base\CLASS05_100_07.json,1.8725,0.74174,27,26
base\CLASS05_100_07.json,3.95307,0.758348,27,27
base\CLASS05_100_07.json,3.1635,0.743996,27,28
base\CLASS05_100_07.json,3.47051,0.761833,27,29
base\CLASS05_100_09.json,2.59478,0.709808,30,0
base\CLASS05_100_09.json,2.21289,0.74739,29,1
base\CLASS05_100_09.json,5.27688,0.751853,29,2
