Arquivo,base\CLASS01_020_03.json
Execucao,5
MaxIteration,1
Tempo Decorrido (segundos),0.0769504
Porcentagem De Utilizacao,0.8804
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,5
MaxIteration,2
Tempo Decorrido (segundos),0.15185
Porcentagem De Utilizacao,0.881514
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,5
MaxIteration,3
Tempo Decorrido (segundos),0.229589
Porcentagem De Utilizacao,0.882771
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,5
MaxIteration,4
Tempo Decorrido (segundos),0.30083
Porcentagem De Utilizacao,0.880514
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,6
MaxIteration,0
Tempo Decorrido (segundos),2.16E-05
Porcentagem De Utilizacao,0.876171
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,6
MaxIteration,1
Tempo Decorrido (segundos),0.0733401
Porcentagem De Utilizacao,0.881629
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,6
MaxIteration,2
Tempo Decorrido (segundos),0.154263
Porcentagem De Utilizacao,0.875429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,6
MaxIteration,3
Tempo Decorrido (segundos),0.228009
Porcentagem De Utilizacao,0.880429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,6
MaxIteration,4
Tempo Decorrido (segundos),0.294558
Porcentagem De Utilizacao,0.880943
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,7
MaxIteration,0
Tempo Decorrido (segundos),1.93E-05
Porcentagem De Utilizacao,0.876629
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,7
MaxIteration,1
Tempo Decorrido (segundos),0.07485
Porcentagem De Utilizacao,0.878343
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,7
MaxIteration,2
Tempo Decorrido (segundos),0.15452
Porcentagem De Utilizacao,0.880429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,7
MaxIteration,3
Tempo Decorrido (segundos),0.22705
Porcentagem De Utilizacao,0.880486
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,7
MaxIteration,4
Tempo Decorrido (segundos),0.29731
Porcentagem De Utilizacao,0.880429
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,8
MaxIteration,0
Tempo Decorrido (segundos),1.96E-05
Porcentagem De Utilizacao,0.872629
Quantidade de Recipientes,7
Busca do Corvo,
Arquivo,base\CLASS01_020_03.json
Execucao,8
MaxIteration,1
Tempo Decorrido (segundos),0.0773153
Porcentagem De Utilizacao,0.876229
Quantidade de Recipientes,7
